"year","title","rating"
"2005-01-01","Son of the Mask",2.1
"2005-01-01","Alone in the Dark",2.1
"2005-01-01","No Direction Home: Bob Dylan",4.3
"2006-01-01","Doogal",2.5
"2006-01-01","Basic Instinct 2",2.5
"2006-01-01","Bug",2.5
"2006-01-01","Das Leben der Anderen",4.4
"2007-01-01","D-War",2.3
"2007-01-01","War Dance",4.3
"2007-01-01","Byôsoku 5 senchimêtoru",4.3
"2007-01-01","Pete Seeger: The Power of Song",4.3
"2007-01-01","No End in Sight",4.3
"2008-01-01","Asylum",2.2
"2008-01-01","The Dark Knight",4.5
"2009-01-01","The Last House on the Left",2.7
"2009-01-01","Miss March",2.7
"2009-01-01","Star Trek",4.1
